test_type,idx,chinese_input,chinese_original,expected_gloss,predicted_gloss,exact_match,precision,recall,f1,ger,edit_distance,error_type,oov_tokens,transform,needs_semantic_mapping,source,seconds
paraphrase,1,哪位候選人提出的身心障礙福利政策比較好，我會留意,我會留意哪位候選人提出的身心障礙福利政策比較好,身心障礙 福利 政府 計畫 提出 演講 比較 棒 誰 我 注意 會,身心障礙 福利 政府 計畫 提出 演講 比較 棒 誰 我 注意 會,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,6.38
paraphrase,2,這個答案是標準的,這是標準答案,這 答案 標準,這 答案 標準,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,4.25
paraphrase,3,我們可以去從事自己喜歡的運動了,我們都可以去做自己喜歡的運動了,我們 運動 喜歡 自己 去 可以,我們 自己 運動 喜歡 去 可以,0,1.0,1.0,1.0,0.3333,2,語序錯誤,,同義詞替換,False,train_paraphrased,4.55
paraphrase,4,我們到國外去旅遊,我們出國旅遊,我們 出 國 旅遊 遊玩,我們兩個 國外 旅遊,0,0.3333,0.2,0.25,0.8,4,Gloss替換錯誤,,虛詞增減,True,train_paraphrased,4.56
paraphrase,5,搭這班列車很適合沿路欣賞東海岸的景色,這列車適合欣賞沿途東海岸的景色,這 火車 火車經過 東海岸 風景 火車前往 欣賞++ 適合,這 火車 坐車 火車+前往 東海岸 風景 火車+欣賞 欣賞++ 適合,0,0.6667,0.75,0.7059,0.375,3,OOV/未知Gloss,火車+前往 火車+欣賞,句式轉換,False,train_paraphrased,5.62
paraphrase,6,我到高雄去採訪某位議長,我去高雄採訪某位議長,我 去 高雄 採訪 什麼 議長,我 去 高雄 採訪 什麼 什麼 議長,0,0.8571,1.0,0.9231,0.1667,1,多餘Gloss,,虛詞增減,False,train_paraphrased,5.5
paraphrase,7,要保護自己，也要珍惜健康,保護自己、珍惜健康,自己 保護 珍惜,自己 保護 要 珍惜,0,0.75,1.0,0.8571,0.3333,1,多餘Gloss,,虛詞增減,False,train_paraphrased,4.31
paraphrase,8,你明天是不是要去中壢,明天你要去中壢嗎,明天 你 去 中壢 要,明天 你 去 中壢 要,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.17
paraphrase,9,其他弄髒的地方還有沒有,還有沒有其他弄髒的地方,其他 髒 有沒有,其他 髒 有沒有,1,1.0,1.0,1.0,0.0,0,正確,,語序調整,False,train_paraphrased,5.18
paraphrase,10,從前多半是外帶或者內用,以前大多是外帶或是內用,以前 人去 買 帶走 坐 吃 大部分,以前 人去 買 帶走 坐 吃 大部分,1,1.0,1.0,1.0,0.0,0,正確,,同義詞替換,True,train_paraphrased,5.01
paraphrase,11,這裡收藏的不只是物品而已,這裡收藏的不僅是物品而已,這裡 收藏 物品 簡單 唯一 不是,這裡 收藏++ 物品 完 不是,0,0.6,0.5,0.5455,0.5,3,OOV/未知Gloss,收藏++,同義詞替換,False,train_paraphrased,5.24
paraphrase,12,不過我發現聽人學生的人數很多,但我發現聽人學生人數眾多,但是 發現 老師 學生 聽人 很多,但是 發現 學生 聽人 很多,0,1.0,0.8333,0.9091,0.1667,1,漏Gloss,,虛詞增減,True,train_paraphrased,5.35
paraphrase,13,你在淡水上班嗎,你是不是在淡水上班,你 淡水 上班,你 淡水 上班,1,1.0,1.0,1.0,0.0,0,正確,,句式轉換,False,train_paraphrased,6.02
paraphrase,14,如果你一次又一次地跟我說,如果你一而再、再而三地跟我說,如果 告訴 一次 二次 三次,如果 你 告訴 一次 二次 三次,0,0.8333,1.0,0.9091,0.2,1,多餘Gloss,,同義詞替換,False,train_paraphrased,4.64
paraphrase,15,想不到，他們為了誰分得多、誰分得少就吵了起來,沒想到，他們為了誰分得多、誰分得少而吵了起來,沒想到 他們兩個 包+包+分 多寡 勝於 勝於 誰 吵架,他們 兩者 包+包1 包+包2 包+包1 包+包2 多寡 勝於我 誰 吵架,0,0.3,0.375,0.3333,1.0,8,OOV/未知Gloss,包+包1 包+包2 包+包1 包+包2 勝於我,同義詞替換,False,train_paraphrased,6.7
paraphrase,16,為了生活也要靠賣畫賺錢,也是為了生活要賣畫賺錢,因為 生活 要 賺錢 賣++,生活 靠 畫畫 賣 賺錢,0,0.4,0.4,0.4,1.0,5,Gloss替換錯誤,,語序調整,False,train_paraphrased,4.82
paraphrase,17,醫生跟我說，我腳底板的骨頭現在有輕微骨裂,醫生告訴我現在腳底板的骨頭有輕微骨裂,醫生 告訴 現在 腳踝+這 骨頭 斷掉 一點點 輕,醫生 告訴 腳踝+這 骨頭 斷掉 一點點 輕,0,1.0,0.875,0.9333,0.125,1,漏Gloss,,語序調整,True,train_paraphrased,5.42
